Date,Magnitude,Latitude,Longitude,UTM-x-coordinate,UTM-y-coordinate,Depth,Phase,Center-th,Center-en,Severity-level,Fname,Fid,DateNoTime,RangeDay,Start
2007-10-27 10:35:00,3.1,20.06,100.35,641173,2218691,-,-,อ.เวียงแก่น จ.เชียงราย,,2,MAE ING,4,2007-10-27,26,2007-10-01
2008-03-13 12:22:00,5.4,19.617,94.304,636741,2169621,-,-,ประเทศพม่า,,4,MAE ING,4,2008-03-13,164,
2010-04-02 18:03:35,4.2,20.38,100.64,671154,2254386,-,-,ประเทศลาว,,3,MAE ING,4,2010-04-02,914,
2011-03-24 19:02:57,3.0,20.08,100.58,665208,2221116,-,7,ลาว,,2,MAE ING,4,2011-03-24,1270,
2012-09-08 12:26:09,3.3,19.99,100.54,661117,2211115,-,6,พรมแดนประเทศไทย-ลาว,Thailand-Laos Borders,2,MAE ING,4,2012-09-08,1804,
2016-10-28 17:37:54,4.3,20.27,94.68,675454,2242251,8,14,ประเทศพม่า,Myanmar,3,MAE ING,4,2016-10-28,3315,
2016-12-09 15:56:37,1.7,20.01,100.6,667374,2213387,2,8,ประเทศลาว,Laos,1,MAE ING,4,2016-12-09,3357,
2017-04-23 04:19:43,3.8,20.05,94.56,663148,2217775,12,17,ประเทศพม่า,Myanmar,2,MAE ING,4,2017-04-23,3492,
2020-08-03 02:50:10,2.9,20.224,100.467,653250,2236947,2,13,ประเทศลาว,Laos,1,MAE ING,4,2020-08-03,4690,
2020-09-04 14:18:07,2.2,20.374,100.676,674919,2253759,2,14,ประเทศลาว,Laos,1,MAE ING,4,2020-09-04,4722,
2021-03-22 22:55:30,3.5,20.227,94.522,658994,2237331,10,20,ประเทศเมียนมา,Myanmar,2,MAE ING,4,2021-03-22,4921,
2021-04-23 09:45:54,3.4,20.045,94.537,660747,2217200,60,21,ประเทศเมียนมา,Myanmar,2,MAE ING,4,2021-04-23,4953,
2021-12-28 22:10:39,1.0,19.623,100.22,627926,2170220,1,6,ต.เวียง อ.เทิง จ.เชียงราย,"Tambon Wiang, Amphoe Thoeng, ChiangRai",1,MAE ING,4,2021-12-28,5202,
2022-03-27 14:09:19,2.0,20.246,100.664,673809,2239577,5,20,ประเทศลาว,Laos,1,MAE ING,4,2022-03-27,5291,
2023-10-29 11:02:17,4.5,20.021,94.251,630851,2214294,20,30,ประเทศเมียนมา,Myanmar,3,MAE ING,4,2023-10-29,5872,
2023-11-03 14:00:28,3.3,20.159,94.382,644429,2229676,10,17,ประเทศเมียนมา,Myanmar,2,MAE ING,4,2023-11-03,5877,